name,color,year,listed,notes,x16_box,x24_box,x32_box,x64_box,interval,id,hue,sat,val,L,U,V,hue2
Yellow-Orange,#FFAE42,1938,#FFAE42,,Yes,Yes,Yes,Yes,1,1515,34.285714285714285,0.7411764705882353,1,77.23937461157902,65.32469683788781,67.43675308243468,0.8013054775767018
Peach,#FFCBA4,1938,#FFCBA4,"Known as ""Flesh Tint"" (1903–1949), ""Flesh"" (1949–1956, 1958–1962), and ""Pink Beige"" (1956–1958).[2]",No,No,Yes,Yes,1,1516,25.7142857142857,0.35686274509803917,1,85.3298116668609,36.32551350143166,34.056666043149086,0.7531732158451158
Middle Yellow,#FFEB00,1938,,Part of the Munsell line.[2],,,,,1,1517,55.29411764705882,1,1,91.98930328000463,21.179510295088384,99.43679090498577,1.3609376469719132
Lemon Yellow,#FFFF9F,1938,#FFFF9F,"Also known as ""Light Chrome Yellow"" (""Chrome Yellow, Light"" on labels) or ""Light Yellow"", 1903–1958. ""Chrome Yellow, Light"" on labels.[2]",,,,,1,1518,60,0.3764705882352941,1,98.14752932971126,4.646364910986495,64.40858105890038,1.4987821637937453
White,#FFFFFF,1938,#FFFFFF,,Yes,Yes,Yes,Yes,1,1519,0,0,1,100,-5.495002378064218e-4,0.007667209400868957,1.6423428667927635
Black,#000000,1939,#000000,,Yes,Yes,Yes,Yes,1,1520,0,0,0,0,-0,-0,-3.141592653589793
Midnight Blue,#003366,1939,#003366,"Known as ""Prussian Blue"", 1903–1958.[2]",No,No,No,No,1,1521,210,1,0.4,21.30642136768597,-11.923631511311243,-40.11169042700177,-1.8597381646766922
Pine Green,#01796F,1939,#01796F,"Known as ""Dark Chrome Green"" (""Chrome Green, Dark"" on labels) or ""Dark Green"", 1903–1949.[2]",No,No,No,No,1,1522,175,0.9917355371900827,0.4745098039215686,45.39721311610773,-36.06531543049438,0.6384136958246481,3.1238929046991486
Green,#01A638,1939,#01A638,,Yes,Yes,Yes,Yes,1,1523,140,0.9939759036144579,0.6509803921568628,59.49165200449414,-54.87011473507741,61.5734482953604,2.2986907247892945
Blue (I),#2EB4E6,1939,,"Known as ""Celestial Blue"", 1935–1949, and ""Azure Blue"", 1949–1958.[2]",,,,,1,1524,196.30434782608697,0.7999999999999999,0.9019607843137255,68.70230235720373,-44.568427913874274,-53.44606526264006,-2.2658662221602386
Maximum Blue Green,#30BFBF,1939,,Part of the Munsell line.[2],,,,,1,1525,180,0.7486910994764397,0.7490196078431373,70.62760734716494,-50.853997793508775,-10.964117162662598,-2.929243163403611
Ultramarine Blue,#3F26BF,1939,,,,,,,1,1526,249.80392156862746,0.8010471204188482,0.7490196078431373,29.919529861235503,-2.772555531191417,-96.9016683708708,-1.5994005744355477
Blue (II),#4570E6,1939,,"Known as ""Medium Blue"", 1949–1958.[2]",,,,,1,1527,223.9751552795031,0.7,0.9019607843137255,50.17320552717095,-18.719135131519284,-100.89998386528917,-1.7542324681429657
Maximum Blue,#47ABCC,1939,,"Part of the Munsell line, 1926–1944. Also known as ""Blue-Green"", 1930–1958.[2]",,,,,1,1528,194.8872180451128,0.6519607843137255,0.8,65.60984066651284,-38.9477231039963,-36.98133346007663,-2.382086425318993
Middle Green,#4D8C57,1939,,Part of the Munsell line.[2],,,,,1,1529,129.52380952380955,0.45000000000000007,0.5490196078431373,52.97274343269724,-29.817200093266816,33.01323003372001,2.3053707472714358
Maximum Green,#5E8C31,1939,,Part of the Munsell line.[2],,,,,1,1530,90.32967032967034,0.65,0.5490196078431373,53.33828781437806,-23.094922946429342,52.08913585150792,1.9881256939009138
Raw Umber,#665233,1939,#665233,,,,,,1,1531,36.47058823529412,0.5,0.4,36.17399314641563,14.690687907951272,22.25965589014231,0.9874447552137282
Medium Chrome Green,#6CA67C,1939,,"""Chrome Green, Medium"" on labels. Produced 1903–1939. Same color as ""Medium Green"" (1903–1939).[2]",,,,,1,1532,136.55172413793105,0.3493975903614458,0.6509803921568628,63.27234839936361,-28.30816634548162,26.277188178413788,2.3933847171497633
Turquoise Blue,#6CDAE7,1939,#6CDAE7,"Available only in bulk, 1935–1949.[2]",No,No,No,Yes,1,1533,186.34146341463415,0.5324675324675324,0.9058823529411765,81.344476712868,-46.29770463656392,-20.967260383940346,-2.716347090351984
Maximum Purple,#733380,1939,,Part of the Munsell line.[2],,,,,1,1534,289.87012987012986,0.6015625,0.5019607843137255,33.07388255344258,25.24035873672813,-46.701601846602536,-1.0753068020722594
Violet-Blue,#766EC8,1939,#766EC8,"Known as ""Blue-Violet"", 1930–1958.[2]",,,,,2,1535,245.33333333333331,0.44999999999999996,0.7843137254901961,50.888316529739654,-2.1253820666518908,-73.16117195157864,-1.5998388422803225
Middle Blue,#7ED4E6,1939,,Part of the Munsell line.[2],,,,,1,1536,190.3846153846154,0.45217391304347826,0.9019607843137255,80.30999266596861,-38.728739071649855,-23.450244606199732,-2.597138977136564
Burnt Umber,#805533,1939,,,,,,,1,1537,26.493506493506487,0.6015625,0.5019607843137255,40.12465810391048,32.11735466788166,26.19170605649092,0.6841210246157157
Violet (II),#8359A3,1939,#8359A3,"""Violet (Purple)"" on labels.[2]",Yes,Yes,Yes,Yes,1,1538,274.05405405405406,0.4539877300613497,0.6392156862745098,45.10156909485657,15.678276875713848,-53.02364732100784,-1.2833032859407385
Middle Blue Purple,#8B72BE,1939,,Part of the Munsell line.[2],,,,,1,1539,259.7368421052631,0.39999999999999997,0.7450980392156863,53.212103813181784,7.110787192013365,-58.89263741161391,-1.4506364607196862
Gray,#8B8680,1939,#8B8680,"As ""Middle Grey"", part of the Munsell line, 1926–1944. Spelled ""Grey"" on labels, but ""Gray"" on boxes. Also called ""Neutral Grey"", 1930–1956.[2]",No,Yes,Yes,Yes,1,1540,32.7272727272728,0.07913669064748194,0.5450980392156862,56.18566564154976,3.265113946433665,5.246163186023548,1.014082326893176
Cobalt Blue,#8C90C8,1939,,,,,,,1,1541,236,0.29999999999999993,0.7843137254901961,61.38673511688542,-5.248908069292454,-47.03755439543478,-1.681926306735389
Middle Blue Green,#8DD9CC,1939,,Part of the Munsell line.[2],,,,,1,1542,169.73684210526315,0.3502304147465437,0.8509803921568627,81.64501552311565,-36.07511537626317,2.7656282239413543,3.0650792689384434
Gold (I),#92926E,1939,,Metallic; swatch represents nominal hue only. Available only in bulk after 1915.[2],,,,,1,1543,60,0.24657534246575333,0.5725490196078431,59.703041487122704,1.887387375100536,26.166267511884424,1.498790477627792
Sepia,#9E5B40,1939,#9E5B40,"Available only in bulk, 1935–1939.[2]",No,No,No,Yes,1,1544,17.23404255319149,0.5949367088607596,0.6196078431372549,45.80259678429802,50.275667895968034,25.863740446678854,0.4751315966498301
Middle Red Purple,#A55353,1939,,Part of the Munsell line.[2],,,,,1,1545,360,0.496969696969697,0.6470588235294118,45.37622251579456,58.10386486711082,12.537003516471062,0.21251091431569832
Maximum Red Purple,#A63A79,1939,,Part of the Munsell line.[2],,,,,1,1546,325,0.6506024096385543,0.6509803921568628,42.024001577337046,61.47878399637085,-25.084902591664033,-0.38740558318509205
Maximum Blue Purple,#ACACE6,1939,,Part of the Munsell line.[2],,,,,1,1547,240,0.25217391304347825,0.9019607843137255,72.2202754774166,-3.4548049807162315,-47.8688151766548,-1.6428437574087245
Middle Green Yellow,#ACBF60,1939,,Part of the Munsell line.[2],,,,,1,1548,72,0.4973821989528796,0.7490196078431373,74.11119724672163,-7.651434465882944,59.88943169370132,1.6978672841880316
Brown,#AF593E,1939,#AF593E,,Yes,Yes,Yes,Yes,1,1549,14.336283185840703,0.6457142857142857,0.6862745098039216,47.76356522862562,65.9437890034936,28.102030622892432,0.4028453944994467
Olive Green,#B5B35C,1939,#B5B35C,,No,No,No,Yes,1,1550,58.65168539325841,0.49171270718232046,0.7098039215686275,71.44474964812512,5.367083173803834,56.22583130670103,1.4756288511895663
Chestnut,#B94E48,1939,#B94E48,"Known as ""Indian Red"" before 1999.[2]",No,No,Yes,Yes,1,1551,3.1858407079646067,0.6108108108108108,0.7254901960784313,47.27985497480359,80.05938487537986,20.291138308939605,0.24822410044887197
Red-Violet,#BB3385,1939,#BB3385,,Yes,Yes,Yes,Yes,1,1552,323.8235294117647,0.7272727272727272,0.7333333333333333,45.121213745813655,76.18308326030478,-30.53390325280564,-0.3811927146929185
Yellow-Green,#C5E17A,1939,#C5E17A,,Yes,Yes,Yes,Yes,1,1553,76.31067961165047,0.45777777777777773,0.8823529411764706,85.56765288655384,-12.490807986239922,65.44524626153832,1.759387120656319
Silver,#C9C0BB,1939,#C9C0BB,"Metallic; swatch represents nominal hue only. Available only in bulk, 1915–1944.[2]",No,No,No,Yes,1,1554,21.428571428571466,0.06965174129353237,0.788235294117647,78.28948433216873,5.530666282726317,4.980151351900781,0.7330699452623465
Venetian Red,#CC553D,1939,,,,,,,1,1555,10.069930069930063,0.7009803921568627,0.8,51.46783085030381,93.09853424228896,30.88289931836425,0.32030030568868323
Maximum Red,#D92121,1939,,Part of the Munsell line.[2],,,,,1,1556,360,0.847926267281106,0.8509803921568627,46.91414671132969,137.9848677668544,29.768097596327628,0.21247810969389938
Middle Purple,#D982B5,1939,,Part of the Munsell line.[2],,,,,1,1557,324.82758620689657,0.40092165898617516,0.8509803921568627,65.00681839199375,49.970847142669655,-25.493286874174903,-0.47174506631452656
Maximum Green Yellow,#D9E650,1939,,Part of the Munsell line.[2],,,,,1,1558,65.2,0.6521739130434783,0.9019607843137255,87.93297929880636,-2.364024551591564,85.19630377060304,1.598537179394326
Middle Red,#E58E73,1939,,Part of the Munsell line.[2],,,,,1,1559,14.210526315789478,0.4978165938864629,0.8980392156862745,67.46101097465476,63.65180999201669,30.11296955611618,0.44188795726301694
Carmine,#E62E6B,1939,,"Known as ""Carmine Red"", 1949–1958.[2]",,,,,1,1560,340.10869565217394,0.7999999999999999,0.9019607843137255,51.65989047738519,122.57414548987111,-0.05510324216559674,-4.495502557520361e-4
Burnt Sienna,#E97451,1939,#E97451,,No,No,No,Yes,1,1561,13.81578947368421,0.6523605150214592,0.9137254901960784,62.0092309552324,91.08654854624723,37.24933338426947,0.38819320133806307
Middle Yellow Red,#ECAC76,1939,,"Part of the Munsell line, 1926–1944. Same color as ""Medium Orange"" (1949–1958).[2]",,,,,1,1562,27.45762711864407,0.5,0.9254901960784314,75.23285625480851,47.64747888941077,43.61182066665331,0.7412050713267819
Red,#ED0A3F,1939,#ED0A3F,,Yes,Yes,Yes,Yes,1,1563,345.9911894273128,0.9578059071729959,0.9294117647058824,50.199683388101846,151.80750426569284,21.28291551115836,0.13928888334344805
Maximum Yellow Red,#F2BA49,1939,,Part of the Munsell line.[2],,,,,1,1564,40.11834319526627,0.6983471074380165,0.9490196078431372,78.7409275281317,45.509635465855276,69.55853883015688,0.991429529300659
Maize,#F2C649,1939,#F2C649,"Known as ""Gold Ochre"", 1903–1958. ""Golden Ochre"" on some labels.[2]",,,,,1,1565,44.37869822485207,0.6983471074380165,0.9490196078431372,81.70227198212999,36.70129518539334,74.52527555320638,1.1131926497095315
Magenta,#F653A6,1939,#F653A6,"Same color as ""Permanent Magenta"" (1903–?).[2]",No,No,No,Yes,1,1566,329.44785276073617,0.66260162601626,0.9647058823529412,60.37129020302473,98.6734250497208,-27.750310886905687,-0.27415251934650364
Maximum Yellow,#FAFA37,1939,,Part of the Munsell line.[2],,,,,1,1567,60,0.78,0.9803921568627451,95.5695066757848,7.198412185812466,99.77679613707139,1.498775954705749
Yellow,#FBE870,1939,#FBE870,,Yes,Yes,Yes,Yes,1,1568,51.79856115107914,0.5537848605577689,0.984313725490196,91.41291044282949,18.17527675491036,75.66410874903295,1.3350527778568244
Goldenrod,#FCD667,1939,#FCD667,"Known as ""Medium Chrome Yellow"" (1903–?) and ""Medium Yellow"" (1903–1958).[2]",No,No,No,Yes,1,1569,44.697986577181204,0.5912698412698413,0.9882352941176471,86.88474798694952,31.36154563093499,71.28489532038033,1.1563342116376292
Red-Orange,#FF681F,1939,#FF681F,,Yes,Yes,Yes,Yes,1,1570,19.553571428571427,0.8784313725490196,1,62.731595140609215,124.45565433024552,50.97508646702895,0.38874133239565334
Orange,#FF8833,1939,#FF8833,,Yes,Yes,Yes,Yes,1,1571,25.000000000000004,0.8,1,68.83329181778008,97.0564869098508,57.18757085844252,0.5324549201282734
Carnation Pink,#FFA6C9,1939,#FFA6C9,"Known as ""Rose Pink"" (1903–1958) and ""Pink"" (1903–1917).[2]",Yes,Yes,Yes,Yes,1,1572,336.4044943820225,0.34901960784313724,1,77.7290870062915,53.687161164180914,-13.116442293684377,-0.2396185603194647
Yellow-Orange,#FFAE42,1939,#FFAE42,,Yes,Yes,Yes,Yes,1,1573,34.285714285714285,0.7411764705882353,1,77.23937461157902,65.32469683788781,67.43675308243468,0.8013054775767018
Peach,#FFCBA4,1939,#FFCBA4,"Known as ""Flesh Tint"" (1903–1949), ""Flesh"" (1949–1956, 1958–1962), and ""Pink Beige"" (1956–1958).[2]",No,No,Yes,Yes,1,1574,25.7142857142857,0.35686274509803917,1,85.3298116668609,36.32551350143166,34.056666043149086,0.7531732158451158
Middle Yellow,#FFEB00,1939,,Part of the Munsell line.[2],,,,,1,1575,55.29411764705882,1,1,91.98930328000463,21.179510295088384,99.43679090498577,1.3609376469719132
Lemon Yellow,#FFFF9F,1939,#FFFF9F,"Also known as ""Light Chrome Yellow"" (""Chrome Yellow, Light"" on labels) or ""Light Yellow"", 1903–1958. ""Chrome Yellow, Light"" on labels.[2]",,,,,1,1576,60,0.3764705882352941,1,98.14752932971126,4.646364910986495,64.40858105890038,1.4987821637937453
White,#FFFFFF,1939,#FFFFFF,,Yes,Yes,Yes,Yes,1,1577,0,0,1,100,-5.495002378064218e-4,0.007667209400868957,1.6423428667927635
Black,#000000,1940,#000000,,Yes,Yes,Yes,Yes,1,1578,0,0,0,0,-0,-0,-3.141592653589793
Midnight Blue,#003366,1940,#003366,"Known as ""Prussian Blue"", 1903–1958.[2]",No,No,No,No,1,1579,210,1,0.4,21.30642136768597,-11.923631511311243,-40.11169042700177,-1.8597381646766922
Pine Green,#01796F,1940,#01796F,"Known as ""Dark Chrome Green"" (""Chrome Green, Dark"" on labels) or ""Dark Green"", 1903–1949.[2]",No,No,No,No,1,1580,175,0.9917355371900827,0.4745098039215686,45.39721311610773,-36.06531543049438,0.6384136958246481,3.1238929046991486
Green,#01A638,1940,#01A638,,Yes,Yes,Yes,Yes,1,1581,140,0.9939759036144579,0.6509803921568628,59.49165200449414,-54.87011473507741,61.5734482953604,2.2986907247892945
Blue (I),#2EB4E6,1940,,"Known as ""Celestial Blue"", 1935–1949, and ""Azure Blue"", 1949–1958.[2]",,,,,1,1582,196.30434782608697,0.7999999999999999,0.9019607843137255,68.70230235720373,-44.568427913874274,-53.44606526264006,-2.2658662221602386
Maximum Blue Green,#30BFBF,1940,,Part of the Munsell line.[2],,,,,1,1583,180,0.7486910994764397,0.7490196078431373,70.62760734716494,-50.853997793508775,-10.964117162662598,-2.929243163403611
Ultramarine Blue,#3F26BF,1940,,,,,,,1,1584,249.80392156862746,0.8010471204188482,0.7490196078431373,29.919529861235503,-2.772555531191417,-96.9016683708708,-1.5994005744355477
Blue (II),#4570E6,1940,,"Known as ""Medium Blue"", 1949–1958.[2]",,,,,1,1585,223.9751552795031,0.7,0.9019607843137255,50.17320552717095,-18.719135131519284,-100.89998386528917,-1.7542324681429657
Maximum Blue,#47ABCC,1940,,"Part of the Munsell line, 1926–1944. Also known as ""Blue-Green"", 1930–1958.[2]",,,,,1,1586,194.8872180451128,0.6519607843137255,0.8,65.60984066651284,-38.9477231039963,-36.98133346007663,-2.382086425318993
Middle Green,#4D8C57,1940,,Part of the Munsell line.[2],,,,,1,1587,129.52380952380955,0.45000000000000007,0.5490196078431373,52.97274343269724,-29.817200093266816,33.01323003372001,2.3053707472714358
Maximum Green,#5E8C31,1940,,Part of the Munsell line.[2],,,,,1,1588,90.32967032967034,0.65,0.5490196078431373,53.33828781437806,-23.094922946429342,52.08913585150792,1.9881256939009138
Raw Umber,#665233,1940,#665233,,,,,,1,1589,36.47058823529412,0.5,0.4,36.17399314641563,14.690687907951272,22.25965589014231,0.9874447552137282
Turquoise Blue,#6CDAE7,1940,#6CDAE7,"Available only in bulk, 1935–1949.[2]",No,No,No,Yes,1,1590,186.34146341463415,0.5324675324675324,0.9058823529411765,81.344476712868,-46.29770463656392,-20.967260383940346,-2.716347090351984
Maximum Purple,#733380,1940,,Part of the Munsell line.[2],,,,,1,1591,289.87012987012986,0.6015625,0.5019607843137255,33.07388255344258,25.24035873672813,-46.701601846602536,-1.0753068020722594
Violet-Blue,#766EC8,1940,#766EC8,"Known as ""Blue-Violet"", 1930–1958.[2]",,,,,2,1592,245.33333333333331,0.44999999999999996,0.7843137254901961,50.888316529739654,-2.1253820666518908,-73.16117195157864,-1.5998388422803225
Middle Blue,#7ED4E6,1940,,Part of the Munsell line.[2],,,,,1,1593,190.3846153846154,0.45217391304347826,0.9019607843137255,80.30999266596861,-38.728739071649855,-23.450244606199732,-2.597138977136564
Burnt Umber,#805533,1940,,,,,,,1,1594,26.493506493506487,0.6015625,0.5019607843137255,40.12465810391048,32.11735466788166,26.19170605649092,0.6841210246157157
Violet (II),#8359A3,1940,#8359A3,"""Violet (Purple)"" on labels.[2]",Yes,Yes,Yes,Yes,1,1595,274.05405405405406,0.4539877300613497,0.6392156862745098,45.10156909485657,15.678276875713848,-53.02364732100784,-1.2833032859407385
Middle Blue Purple,#8B72BE,1940,,Part of the Munsell line.[2],,,,,1,1596,259.7368421052631,0.39999999999999997,0.7450980392156863,53.212103813181784,7.110787192013365,-58.89263741161391,-1.4506364607196862
Gray,#8B8680,1940,#8B8680,"As ""Middle Grey"", part of the Munsell line, 1926–1944. Spelled ""Grey"" on labels, but ""Gray"" on boxes. Also called ""Neutral Grey"", 1930–1956.[2]",No,Yes,Yes,Yes,1,1597,32.7272727272728,0.07913669064748194,0.5450980392156862,56.18566564154976,3.265113946433665,5.246163186023548,1.014082326893176
Cobalt Blue,#8C90C8,1940,,,,,,,1,1598,236,0.29999999999999993,0.7843137254901961,61.38673511688542,-5.248908069292454,-47.03755439543478,-1.681926306735389
Middle Blue Green,#8DD9CC,1940,,Part of the Munsell line.[2],,,,,1,1599,169.73684210526315,0.3502304147465437,0.8509803921568627,81.64501552311565,-36.07511537626317,2.7656282239413543,3.0650792689384434
Gold (I),#92926E,1940,,Metallic; swatch represents nominal hue only. Available only in bulk after 1915.[2],,,,,1,1600,60,0.24657534246575333,0.5725490196078431,59.703041487122704,1.887387375100536,26.166267511884424,1.498790477627792
Sepia,#9E5B40,1940,#9E5B40,"Available only in bulk, 1935–1939.[2]",No,No,No,Yes,1,1601,17.23404255319149,0.5949367088607596,0.6196078431372549,45.80259678429802,50.275667895968034,25.863740446678854,0.4751315966498301
Middle Red Purple,#A55353,1940,,Part of the Munsell line.[2],,,,,1,1602,360,0.496969696969697,0.6470588235294118,45.37622251579456,58.10386486711082,12.537003516471062,0.21251091431569832
Maximum Red Purple,#A63A79,1940,,Part of the Munsell line.[2],,,,,1,1603,325,0.6506024096385543,0.6509803921568628,42.024001577337046,61.47878399637085,-25.084902591664033,-0.38740558318509205
Maximum Blue Purple,#ACACE6,1940,,Part of the Munsell line.[2],,,,,1,1604,240,0.25217391304347825,0.9019607843137255,72.2202754774166,-3.4548049807162315,-47.8688151766548,-1.6428437574087245
Middle Green Yellow,#ACBF60,1940,,Part of the Munsell line.[2],,,,,1,1605,72,0.4973821989528796,0.7490196078431373,74.11119724672163,-7.651434465882944,59.88943169370132,1.6978672841880316
Brown,#AF593E,1940,#AF593E,,Yes,Yes,Yes,Yes,1,1606,14.336283185840703,0.6457142857142857,0.6862745098039216,47.76356522862562,65.9437890034936,28.102030622892432,0.4028453944994467
Olive Green,#B5B35C,1940,#B5B35C,,No,No,No,Yes,1,1607,58.65168539325841,0.49171270718232046,0.7098039215686275,71.44474964812512,5.367083173803834,56.22583130670103,1.4756288511895663
Chestnut,#B94E48,1940,#B94E48,"Known as ""Indian Red"" before 1999.[2]",No,No,Yes,Yes,1,1608,3.1858407079646067,0.6108108108108108,0.7254901960784313,47.27985497480359,80.05938487537986,20.291138308939605,0.24822410044887197
Red-Violet,#BB3385,1940,#BB3385,,Yes,Yes,Yes,Yes,1,1609,323.8235294117647,0.7272727272727272,0.7333333333333333,45.121213745813655,76.18308326030478,-30.53390325280564,-0.3811927146929185
Yellow-Green,#C5E17A,1940,#C5E17A,,Yes,Yes,Yes,Yes,1,1610,76.31067961165047,0.45777777777777773,0.8823529411764706,85.56765288655384,-12.490807986239922,65.44524626153832,1.759387120656319
Silver,#C9C0BB,1940,#C9C0BB,"Metallic; swatch represents nominal hue only. Available only in bulk, 1915–1944.[2]",No,No,No,Yes,1,1611,21.428571428571466,0.06965174129353237,0.788235294117647,78.28948433216873,5.530666282726317,4.980151351900781,0.7330699452623465
Venetian Red,#CC553D,1940,,,,,,,1,1612,10.069930069930063,0.7009803921568627,0.8,51.46783085030381,93.09853424228896,30.88289931836425,0.32030030568868323
Maximum Red,#D92121,1940,,Part of the Munsell line.[2],,,,,1,1613,360,0.847926267281106,0.8509803921568627,46.91414671132969,137.9848677668544,29.768097596327628,0.21247810969389938
Middle Purple,#D982B5,1940,,Part of the Munsell line.[2],,,,,1,1614,324.82758620689657,0.40092165898617516,0.8509803921568627,65.00681839199375,49.970847142669655,-25.493286874174903,-0.47174506631452656
Maximum Green Yellow,#D9E650,1940,,Part of the Munsell line.[2],,,,,1,1615,65.2,0.6521739130434783,0.9019607843137255,87.93297929880636,-2.364024551591564,85.19630377060304,1.598537179394326
Middle Red,#E58E73,1940,,Part of the Munsell line.[2],,,,,1,1616,14.210526315789478,0.4978165938864629,0.8980392156862745,67.46101097465476,63.65180999201669,30.11296955611618,0.44188795726301694
Carmine,#E62E6B,1940,,"Known as ""Carmine Red"", 1949–1958.[2]",,,,,1,1617,340.10869565217394,0.7999999999999999,0.9019607843137255,51.65989047738519,122.57414548987111,-0.05510324216559674,-4.495502557520361e-4
Burnt Sienna,#E97451,1940,#E97451,,No,No,No,Yes,1,1618,13.81578947368421,0.6523605150214592,0.9137254901960784,62.0092309552324,91.08654854624723,37.24933338426947,0.38819320133806307
Middle Yellow Red,#ECAC76,1940,,"Part of the Munsell line, 1926–1944. Same color as ""Medium Orange"" (1949–1958).[2]",,,,,1,1619,27.45762711864407,0.5,0.9254901960784314,75.23285625480851,47.64747888941077,43.61182066665331,0.7412050713267819
Red,#ED0A3F,1940,#ED0A3F,,Yes,Yes,Yes,Yes,1,1620,345.9911894273128,0.9578059071729959,0.9294117647058824,50.199683388101846,151.80750426569284,21.28291551115836,0.13928888334344805
Maximum Yellow Red,#F2BA49,1940,,Part of the Munsell line.[2],,,,,1,1621,40.11834319526627,0.6983471074380165,0.9490196078431372,78.7409275281317,45.509635465855276,69.55853883015688,0.991429529300659
Maize,#F2C649,1940,#F2C649,"Known as ""Gold Ochre"", 1903–1958. ""Golden Ochre"" on some labels.[2]",,,,,1,1622,44.37869822485207,0.6983471074380165,0.9490196078431372,81.70227198212999,36.70129518539334,74.52527555320638,1.1131926497095315
Magenta,#F653A6,1940,#F653A6,"Same color as ""Permanent Magenta"" (1903–?).[2]",No,No,No,Yes,1,1623,329.44785276073617,0.66260162601626,0.9647058823529412,60.37129020302473,98.6734250497208,-27.750310886905687,-0.27415251934650364
Maximum Yellow,#FAFA37,1940,,Part of the Munsell line.[2],,,,,1,1624,60,0.78,0.9803921568627451,95.5695066757848,7.198412185812466,99.77679613707139,1.498775954705749
Yellow,#FBE870,1940,#FBE870,,Yes,Yes,Yes,Yes,1,1625,51.79856115107914,0.5537848605577689,0.984313725490196,91.41291044282949,18.17527675491036,75.66410874903295,1.3350527778568244
Goldenrod,#FCD667,1940,#FCD667,"Known as ""Medium Chrome Yellow"" (1903–?) and ""Medium Yellow"" (1903–1958).[2]",No,No,No,Yes,1,1626,44.697986577181204,0.5912698412698413,0.9882352941176471,86.88474798694952,31.36154563093499,71.28489532038033,1.1563342116376292
Red-Orange,#FF681F,1940,#FF681F,,Yes,Yes,Yes,Yes,1,1627,19.553571428571427,0.8784313725490196,1,62.731595140609215,124.45565433024552,50.97508646702895,0.38874133239565334
Orange,#FF8833,1940,#FF8833,,Yes,Yes,Yes,Yes,1,1628,25.000000000000004,0.8,1,68.83329181778008,97.0564869098508,57.18757085844252,0.5324549201282734
Carnation Pink,#FFA6C9,1940,#FFA6C9,"Known as ""Rose Pink"" (1903–1958) and ""Pink"" (1903–1917).[2]",Yes,Yes,Yes,Yes,1,1629,336.4044943820225,0.34901960784313724,1,77.7290870062915,53.687161164180914,-13.116442293684377,-0.2396185603194647
Yellow-Orange,#FFAE42,1940,#FFAE42,,Yes,Yes,Yes,Yes,1,1630,34.285714285714285,0.7411764705882353,1,77.23937461157902,65.32469683788781,67.43675308243468,0.8013054775767018
Peach,#FFCBA4,1940,#FFCBA4,"Known as ""Flesh Tint"" (1903–1949), ""Flesh"" (1949–1956, 1958–1962), and ""Pink Beige"" (1956–1958).[2]",No,No,Yes,Yes,1,1631,25.7142857142857,0.35686274509803917,1,85.3298116668609,36.32551350143166,34.056666043149086,0.7531732158451158
Middle Yellow,#FFEB00,1940,,Part of the Munsell line.[2],,,,,1,1632,55.29411764705882,1,1,91.98930328000463,21.179510295088384,99.43679090498577,1.3609376469719132
Lemon Yellow,#FFFF9F,1940,#FFFF9F,"Also known as ""Light Chrome Yellow"" (""Chrome Yellow, Light"" on labels) or ""Light Yellow"", 1903–1958. ""Chrome Yellow, Light"" on labels.[2]",,,,,1,1633,60,0.3764705882352941,1,98.14752932971126,4.646364910986495,64.40858105890038,1.4987821637937453
White,#FFFFFF,1940,#FFFFFF,,Yes,Yes,Yes,Yes,1,1634,0,0,1,100,-5.495002378064218e-4,0.007667209400868957,1.6423428667927635
Black,#000000,1941,#000000,,Yes,Yes,Yes,Yes,1,1635,0,0,0,0,-0,-0,-3.141592653589793
Midnight Blue,#003366,1941,#003366,"Known as ""Prussian Blue"", 1903–1958.[2]",No,No,No,No,1,1636,210,1,0.4,21.30642136768597,-11.923631511311243,-40.11169042700177,-1.8597381646766922
Pine Green,#01796F,1941,#01796F,"Known as ""Dark Chrome Green"" (""Chrome Green, Dark"" on labels) or ""Dark Green"", 1903–1949.[2]",No,No,No,No,1,1637,175,0.9917355371900827,0.4745098039215686,45.39721311610773,-36.06531543049438,0.6384136958246481,3.1238929046991486
Green,#01A638,1941,#01A638,,Yes,Yes,Yes,Yes,1,1638,140,0.9939759036144579,0.6509803921568628,59.49165200449414,-54.87011473507741,61.5734482953604,2.2986907247892945
Blue (I),#2EB4E6,1941,,"Known as ""Celestial Blue"", 1935–1949, and ""Azure Blue"", 1949–1958.[2]",,,,,1,1639,196.30434782608697,0.7999999999999999,0.9019607843137255,68.70230235720373,-44.568427913874274,-53.44606526264006,-2.2658662221602386
Maximum Blue Green,#30BFBF,1941,,Part of the Munsell line.[2],,,,,1,1640,180,0.7486910994764397,0.7490196078431373,70.62760734716494,-50.853997793508775,-10.964117162662598,-2.929243163403611
Ultramarine Blue,#3F26BF,1941,,,,,,,1,1641,249.80392156862746,0.8010471204188482,0.7490196078431373,29.919529861235503,-2.772555531191417,-96.9016683708708,-1.5994005744355477
Blue (II),#4570E6,1941,,"Known as ""Medium Blue"", 1949–1958.[2]",,,,,1,1642,223.9751552795031,0.7,0.9019607843137255,50.17320552717095,-18.719135131519284,-100.89998386528917,-1.7542324681429657
Maximum Blue,#47ABCC,1941,,"Part of the Munsell line, 1926–1944. Also known as ""Blue-Green"", 1930–1958.[2]",,,,,1,1643,194.8872180451128,0.6519607843137255,0.8,65.60984066651284,-38.9477231039963,-36.98133346007663,-2.382086425318993
